content,timestamp,platform,stock_name,delta_seconds,weight,label
아직은 무섭다 한 몇일관망해야지,2024-12-04 02:35:16+00:00,toss,삼성전자,9383455.0,6.816057482613335e-48,
"그만 팔아요 제발
우리 조금만 더 같이 참아보아요
8만 보고싶습니다",2023-09-14 05:18:20+00:00,toss,삼성전자,47994471.0,5.6634316357402465e-242,
,2024-12-12 05:20:47+00:00,toss,삼성전자,8682324.0,2.279333283365559e-44,
지금 구매 대기걸어놓으면 언제 사져요,2024-09-25 07:05:17+00:00,toss,삼성전자,15415254.0,3.2685471412560185e-78,
61입주  총알장전대기 일단 100주만샀으 삼전가즈아,2024-10-04 05:28:27+00:00,toss,삼성전자,14643464.0,2.4762859690101245e-74,
"6만간다
글고 6만넘으면 7만도 금방감

개미털고",2024-11-17 23:59:24+00:00,toss,삼성전자,10775207.0,6.883561192316642e-55,
삼성은 단단하내요 개인만 허겁지겁 판듯,2024-12-09 07:28:25+00:00,toss,삼성전자,8933866.0,1.2399887820971912e-45,
으짠다고,2024-11-11 11:00:42+00:00,toss,삼성전자,11340329.0,9.935632355855453e-58,
진짜 욕밖에 안나와,2024-11-12 04:18:14+00:00,toss,삼성전자,11278077.0,2.042249077535573e-57,
"폰은 z플립 티비도삼성 냉장고도 삼성 컴퓨터
모니터도 삼성이다 삼성 빠른회복했으면 좋겠다",2024-10-25 10:24:09+00:00,toss,삼성전자,12811322.0,4.010200458813726e-65,
M7기술 정착하는데 15년 걸려,2025-01-17 03:12:53+00:00,toss,삼성전자,5579598.0,8.991567028723263e-29,
어제 호재도 있고 외인이 매집하는거보면 갈만할듯,2024-03-20 00:28:07+00:00,toss,삼성전자,31768684.0,2.0554874611586727e-160,
담주 7만가면 다시 판다이번달 이걸로 재미좀 봤다,2023-10-26 01:30:04+00:00,toss,삼성전자,44379367.0,8.406286444077594e-224,
운전을,2024-04-09 06:07:26+00:00,toss,삼성전자,30020325.0,1.2622347540890584e-151,
"2시간전에 말씀드린대로 20일선위에
안착하는 삼성전자A005930입니다  
내일도 기대해볼수 있으며 
매물들을 어느정도 소화하고 내려왔기에
빠르게 치고올라갈수도 있다고 생각됩니다

오늘 주식장도 수고하셨습니다 여러분",2023-07-11 06:59:56+00:00,toss,삼성전자,53604375.0,3.585751817099684e-270,
"주식고수는 삼성사는사람이 아니라
국장을 안하는게 주식고수여",2024-09-23 04:55:42+00:00,toss,삼성전자,15595829.0,4.04281913348021e-79,
주식은 눈치 빠른 사람이 먹더라,2025-03-19 01:17:25+00:00,toss,삼성전자,316126.0,0.0257617166264498,
와 살려주세요,2024-09-23 00:21:16+00:00,toss,삼성전자,15612295.0,3.341312020063983e-79,
657정도 예상하는데 내일 한번은 반등하겠죠,2024-08-05 02:06:35+00:00,toss,삼성전자,19839576.0,1.8847347167611656e-100,
아직도 삼전들고있으면 어떡하냐,2024-09-11 02:02:47+00:00,toss,삼성전자,16643004.0,2.2029264927748563e-84,
아이고 삼전아,2024-05-29 07:56:52+00:00,toss,삼성전자,25693759.0,7.061038816431391e-130,
외인놈들 오전에 페이크였구만,2025-02-12 04:06:25+00:00,toss,삼성전자,3329986.0,1.826573762894541e-17,
에헤이 또봐라,2024-11-27 04:30:28+00:00,toss,삼성전자,9981343.0,6.733105657707363e-51,
"형님들 저 평단이 오늘 물타기해서 59층에 300주인데요 
언제쯤 탎출이 가능할까요 
더 물탈까요",2024-12-17 08:33:41+00:00,toss,삼성전자,8238750.0,3.867742981413581e-42,
거래량이 부족하다 좀만 더터져줬으면 확실한 방향성을 정했을건데 아쉽다 내일은 변동성이 커질텐데 파워게임에서 어찌될것인가 상승쪽으로 배팅했기에 분석대로 쭉간다 역대선물옵션동시만기일에는 상승쪽이 우세했던 장이 많았다 과연 내일도 그렇게될것인가 지켜볼일이다,2025-03-12 08:46:36+00:00,toss,삼성전자,893975.0,3.209106644775117e-05,
"외인 매도하는중 
언재증 외국인 매수할까요",2024-10-10 01:40:29+00:00,toss,삼성전자,14138742.0,8.527357063570373e-72,
"요즘 미국 경제를 두고 나홀로 호황이라고 할 정도로 굉장히 지표도 좋게 나오고 있는데 간밤에 제조업 PMI도 2022년 9월 이후로 처음으로 기준선 50을 넘었다는 소식도 나왔습니다 현재 미국 경기 어떤 상황으로 보십니까

유동성이 역사상 최고치를 유지하고 있는 것 때문인지 몰라도 미국 증시뿐만 아니라 비트코인에 금까지 에브리싱 랠리가 이어지고 있습니다 이런 현상이 당분간 이어질 것이라고 보십니까

미국 경제 회복과 성장에는 미국 정부의 재정 정책도 큰 몫을 담당해 왔습니다 하지만 한편으로는 재정적자에 대한 우려도 꾸준히 제기되는 거 같은데 
재정적자 우려는 어떻게 보십니까

타임라인 
00 마켓인사이트
0623 연준 금리인하 가능성
1025 QT축소 영향
1647 AI 기술 발전 실물 경제 영향
2303 미국 재정확대 정책 유지 가능성

영상보기
httpsyoutubepCZydhC0Qc4sif24rbYI5GQmHGSo6",2024-04-02 08:44:32+00:00,toss,삼성전자,30615699.0,1.2836868195735812e-154,
도대체 나한테 왜그러는거임,2024-11-14 08:08:27+00:00,toss,삼성전자,11091464.0,1.7706368457652206e-56,
"삼전은 무조건 믿고간다
다만 인내가 필요하다",2024-08-06 03:05:12+00:00,toss,삼성전자,19749659.0,5.336089576651021e-100,
"성전자 per 14 pbr 1배 
아무리 조선장이지만 이건 너무한거 아니냐고
매출은 삼성이 넘사벽이고 영업이익은 서로 비슷한데
시가총액 3배 넘게 차이나네 
가전 벨류만 받은 lg전자 per도 16배 인데",2024-10-14 05:56:29+00:00,toss,삼성전자,13777782.0,5.5616068323734256e-70,
얘는진짜 뭐지,2023-07-31 04:37:38+00:00,toss,삼성전자,51884913.0,1.5759887964470905e-261,
나락 나락,2024-10-24 05:30:32+00:00,toss,삼성전자,12915339.0,1.2031471718022605e-65,
삼성은 개인주주들이 살리네,2024-10-25 06:54:38+00:00,toss,삼성전자,12823893.0,3.467186799746387e-65,
다들 오늘 장 시작과 동시에 파시길,2024-07-17 21:24:59+00:00,toss,삼성전자,21411672.0,2.3605915999763832e-108,
,2024-11-11 00:52:57+00:00,toss,삼성전자,11376794.0,6.514815638508908e-58,
"일봉 주봉 빨콩텄다 다 튀어
삼전으로 난 잘 먹고 저점매수 노리러 간다",2023-07-05 04:33:45+00:00,toss,삼성전자,54131546.0,8.030182373550292e-273,
83층이하 좀떨어젓다고 징징거리지마라,2024-01-17 07:54:00+00:00,toss,삼성전자,37185131.0,1.2213438168085262e-187,
외국인들은 끊임없이 던지네,2024-09-25 01:23:17+00:00,toss,삼성전자,15435774.0,2.577566113619626e-78,
75층 뚫자,2023-12-21 01:02:39+00:00,toss,삼성전자,39542612.0,1.7251485029502641e-199,
"완벽하게 새로운 몸에 머리를 옮기는 수술이 가능해도

기억이 날아가버리거나 정신상태가 온전하지 않음또는 장애가 발생함
사실상 이것 때문에 앞으로의 진행이 막힌상황

동물의 경우는 기억까지 온기는게 가능하다는데
동물이 기억이 있는지 없는지 어케 확인하는지 방법이 궁금한 상황

데헷",2024-06-16 13:52:53+00:00,toss,삼성전자,24117198.0,5.936651382910034e-122,
10퍼인데 손절쳐  냅둬,2024-10-21 00:17:50+00:00,toss,삼성전자,13193301.0,4.820888152275263e-67,
근데 삼성은  왜 거꾸로가니,2024-08-09 00:09:49+00:00,toss,삼성전자,19500982.0,9.48881770130087e-99,
그냥 뺄걸 그랬네 더 떨어졌네 쩝,2024-11-13 05:02:00+00:00,toss,삼성전자,11189051.0,5.7227256725158e-57,
나는 삼성주식 산걸 후회,2024-11-29 12:30:11+00:00,toss,삼성전자,9779760.0,6.941986571380606e-50,
아 삼전 빼고 엔비디아 넣을까 고민인데 어카지 삼전 다시 오를 것 같긴 한데,2024-05-26 15:09:31+00:00,toss,삼성전자,25927000.0,4.747549848998166e-131,
"지수는 별루인데 삼전만 폭등하네
설마 진짜 이재명 만났다고 이런거 아니겠지",2025-03-21 06:34:57+00:00,toss,삼성전자,124274.0,0.2373174740055189,
마지막 기회다,2024-09-04 06:17:12+00:00,toss,삼성전자,17232539.0,2.3970054283946217e-87,
어디 내놔도 부끄럽다 삼성,2024-05-27 01:29:58+00:00,toss,삼성전자,25889773.0,7.304544723154868e-131,
이런때에 지수는 또 안도와주네,2024-11-15 00:29:44+00:00,toss,삼성전자,11032587.0,3.500080754697425e-56,
3만오면 줍줍,2025-01-02 01:16:05+00:00,toss,삼성전자,6882606.0,2.5362499390464257e-35,
"어제 증권사 넘들 목표 주가 내리 치는거 보고 
진입 타이밍이다 생각했음",2024-12-17 23:43:30+00:00,toss,삼성전자,8184161.0,7.275323341244489e-42,
와우 기관도 파네 나락이구나,2024-11-01 01:01:38+00:00,toss,삼성전자,12240273.0,2.9756109425121045e-62,
잘먹고 가요,2024-11-18 00:52:30+00:00,toss,삼성전자,10772021.0,7.142130585655899e-55,
아 상폐 언제 하냐니까,2025-01-17 03:58:32+00:00,toss,삼성전자,5576859.0,9.281178480426507e-29,
"삼성 품질이슈 도 문제인대 노조 는 왜 저러는지 
재대로 만들기나 하던가",2024-06-01 11:34:36+00:00,toss,삼성전자,25421495.0,1.6497531976355683e-128,
