content,timestamp,platform,stock_name,delta_seconds,weight,label
오로지 미국만 바라보네,2024-11-14 08:39:52+00:00,toss,삼성전자,11089579.0,1.8096915409141769e-56,
외국인들 맨날 던지네,2024-12-05 01:09:24+00:00,toss,삼성전자,9302207.0,1.7455444284048002e-47,
토스 고객센터에선 토스랑 관계없다는데 맞는겁니까,2023-07-10 06:25:55+00:00,toss,삼성전자,53692816.0,1.2883282900225128e-270,
왜이럼,2025-02-11 00:04:21+00:00,toss,삼성전자,3430910.0,5.679852092898429e-18,
냠냠,2024-11-22 04:07:37+00:00,toss,삼성전자,10414714.0,4.465309962394766e-53,
"그 높다는 코시국 때 들어와 반강제 장투가 되어 버렸지만 애정한다
안팔꺼야
더 살꺼야",2024-03-29 01:23:14+00:00,toss,삼성전자,30987777.0,1.730565300073027e-156,
이슈넼,2024-10-25 01:19:17+00:00,toss,삼성전자,12844014.0,2.7468686774622318e-65,
도로 아미타불,2024-12-03 06:55:32+00:00,toss,삼성전자,9454239.0,3.004232007314973e-48,
이야,2024-10-10 01:07:23+00:00,toss,삼성전자,14140728.0,8.333581887355619e-72,
이가격 언제오려나,2024-10-08 00:11:30+00:00,toss,삼성전자,14316881.0,1.0848974776335467e-72,
2주,2024-10-07 02:03:18+00:00,toss,삼성전자,14396573.0,4.313326748370288e-73,
오늘 오르겎네 57층,2025-02-12 23:50:31+00:00,toss,삼성전자,3258940.0,4.156750411507719e-17,
오만전자 육만전자 할 때가 아냐 너는 짜샤 물갈이하는 김에 다시 올라가,2024-10-29 03:05:06+00:00,toss,삼성전자,12492065.0,1.6140962628457246e-63,
"6100인데
물타기할까요
탈출하고싶어요",2025-02-10 07:39:21+00:00,toss,삼성전자,3490010.0,2.8659429248305773e-18,
"기관 
돈되면 태극기도 팔아먹를 기세네
역대급 실적에도
장난질
엔비디아 12프로 올라도 
장난질 
미국반도체 지수 폭등에도
장난질

그런 사기성 매매를
대한민국 자국민에게  사기치지말고
그돈 일본에서 사기매매하면
국민 공감과 호응 이라도 얻지

돈되더라도 시총 1위로 장난치면
돈문제가 아니라
그나라 신뢰와 주체성 이 무너지는데

니들은 대한민국 사람 아니냐",2024-08-01 12:42:47+00:00,toss,삼성전자,20147004.0,5.369650479177251e-102,
다들 힘냅시다,2024-10-25 08:41:11+00:00,toss,삼성전자,12817500.0,3.7334644149673e-65,
"훌쩍훌쩍

울고 싶어라
울고 시퍼라이 마음",2024-11-29 05:44:36+00:00,toss,삼성전자,9804095.0,5.237964090267679e-50,
,2024-12-23 04:09:49+00:00,toss,삼성전자,7736182.0,1.2991044055539956e-39,
"아니 이러는 이유가 있을 거 아니야 
후",2023-08-14 01:01:18+00:00,toss,삼성전자,50688293.0,1.6309144065055717e-255,
2021년에 무슨일이 있던거야,2025-01-09 13:42:59+00:00,toss,삼성전자,6232992.0,4.672115022189418e-32,
와 볼린저 중심선을 절대 못 올라가네,2024-11-04 01:14:22+00:00,toss,삼성전자,11980309.0,6.0297579944327614e-61,
네 삼성전자 입니다,2024-12-04 13:16:59+00:00,toss,삼성전자,9344952.0,1.0643163882054623e-47,
오늘 아침에 팔고오늘 다시 살 수 있다는 생각은 상상도 못했네요정말 대단하네요 국장,2024-09-25 06:25:26+00:00,toss,삼성전자,15417645.0,3.179334746705828e-78,
외인 양아치,2024-11-27 04:02:23+00:00,toss,삼성전자,9983028.0,6.603066663751362e-51,
아 그런데 생각해보니 우리나라는 imf때 이미 한번 망해봤구나,2024-11-12 05:01:04+00:00,toss,삼성전자,11275507.0,2.103909035619877e-57,
나 금방 씻고 갈께,2025-02-19 09:38:04+00:00,toss,삼성전자,2705287.0,2.5218661729758976e-14,
"hbm3e 도 아니고 hbm3 인증났다고
언플하는 회사주식 왜사요",2024-11-02 05:33:27+00:00,toss,삼성전자,12137564.0,9.768969170503089e-62,
믿어요,2024-03-07 16:43:53+00:00,toss,삼성전자,32833338.0,9.148951896542473e-166,
보통 내일 발표는 몇시쯤하나요,2024-07-04 01:31:45+00:00,toss,삼성전자,22606466.0,2.329814298726825e-114,
그래,2024-06-14 01:31:04+00:00,toss,삼성전자,24334507.0,4.799826945262224e-123,
"httpsyoutubecomshortsZvaTyTSaKEIsi3wnHrGTK09cPeVwj

영상에 보는것처럼 중국의 개입은 현실입니다
대만에 역전당한 삼성전자가 노조생기고
오너 감방가면서 그후 미래대처를 못한 삼성은
대만에 역전당하고 지금은 중국마저 대한민국안에
여론과 정치적으로 민주당을 돕고있는데
여기 삼성주주면 그래도 대한민국에 삼성은 자랑스런
기업 아닙니까 반미는 적극적으로 하면서
중국개입은 이토록 허술한 안전불감증인 대한민국
지키지 않은면 주식의 미래도 없습니다",2024-12-30 21:55:51+00:00,toss,삼성전자,7067420.0,2.9868542856240678e-36,
"120개 삼전 주식 2달 이상 보유  10만원 익절하고 팔까요 들고 있을까융

던지고 국장을 떠나야할까용",2024-06-05 00:35:13+00:00,toss,삼성전자,25115458.0,5.6981155444850674e-127,
얘가 아니라 내가 상칠듯,2023-08-31 01:33:15+00:00,toss,삼성전자,49217576.0,4.027849828070363e-248,
평단53900원으로장투하다배당금받겠네 젠장,2025-02-05 05:39:09+00:00,toss,삼성전자,3929222.0,1.7764116069708917e-20,
,2024-11-12 01:11:23+00:00,toss,삼성전자,11289288.0,1.7937255057562714e-57,
히히,2024-06-18 05:25:45+00:00,toss,삼성전자,23974826.0,3.0844834843200874e-121,
고,2024-08-02 05:05:45+00:00,toss,삼성전자,20088026.0,1.0626794125932703e-101,
물도 타기싫다 너는,2024-05-22 00:28:53+00:00,toss,삼성전자,26325438.0,4.717353408338478e-133,
"50프로 손절
48에 기다릴께",2024-11-11 03:09:58+00:00,toss,삼성전자,11368573.0,7.165152715405626e-58,
대박,2024-11-25 00:04:28+00:00,toss,삼성전자,10170103.0,7.575348619611692e-52,
주가 정상화를 시킨 젠슨황,2025-01-31 03:41:14+00:00,toss,삼성전자,4368297.0,1.1028293240028128e-22,
60900,2025-03-20 03:31:52+00:00,toss,삼성전자,221659.0,0.0768809094292711,
줄다리기하네,2024-10-14 05:08:12+00:00,toss,삼성전자,13780679.0,5.3782173546460517e-70,
날아올라줭,2023-08-08 00:33:35+00:00,toss,삼성전자,51208356.0,3.9655653772274236e-258,
엔비디아 기사 뜨고 바로 하이닉스 내러가고 삼전 오르누,2024-03-20 01:16:37+00:00,toss,삼성전자,31765774.0,2.1258964723400744e-160,
"주주는 아니지만 삼성 화이팅
삼성이 살아야 대한민국이 산다
위기를 기회로 만들던 저력을 보여줘라",2024-10-29 07:04:07+00:00,toss,삼성전자,12477724.0,1.905527754650442e-63,
외국인들 110만주 매수,2024-10-23 05:30:50+00:00,toss,삼성전자,13001721.0,4.42705329880028e-66,
조정은 한번 올거같은데 8만 2천원이 기준이 될듯,2024-03-29 00:03:55+00:00,toss,삼성전자,30992536.0,1.637821654823209e-156,
끝났습니다 낼 한강에서 봅시다,2024-12-03 15:27:14+00:00,toss,삼성전자,9423537.0,4.2860655286621396e-48,
일봉 rsi 과매수 구간,2025-03-20 01:38:19+00:00,toss,삼성전자,228472.0,0.071051390645928,
