content,timestamp,platform,stock_name,delta_seconds,weight
국장 몆명애들 그래프가 똑같네,2024-08-05 08:30:49+00:00,toss,삼성전자,19816522.0,2.4611181541594456e-100
"삼성은 그냥 아무 이유없이 모아봄
주식공부중",2024-10-15 02:58:47+00:00,toss,삼성전자,13702044.0,1.3362927753965185e-69
바닥이 어데공,2024-11-12 00:06:51+00:00,toss,삼성전자,11293160.0,1.7151146510202165e-57
뭐니,2025-01-07 02:57:46+00:00,toss,삼성전자,6444505.0,4.039535976452729e-33
뭐하냐 사만전자 안가고 입 쭈아아압 벌리고 대기중이다 빨리 사만전자 가라,2024-11-14 01:16:27+00:00,toss,삼성전자,11116184.0,1.3300654753780986e-56
"역시 대한민국에서 믿을건 부동산뿐이다
부동산 불패 부동산만이 모든것을 능가한다
주식하지말구 부동산에 올인하자
그것만이 살길이다",2024-11-13 01:41:13+00:00,toss,삼성전자,11201098.0,4.977921018445266e-57
끝내는 55가 깨졌구나,2025-02-28 04:09:41+00:00,toss,삼성전자,1947390.0,1.626799876002726e-10
개잡주,2025-02-06 07:55:16+00:00,toss,삼성전자,3834655.0,5.3074996113164915e-20
다들 떡상가야쥬,2023-05-30 00:13:29+00:00,toss,삼성전자,57257562.0,1.5546382678552865e-288
주주는 아니지만 대한민국 국민으로서 뿌듯합니다,2025-02-10 05:19:54+00:00,toss,삼성전자,3498377.0,2.6014191859375732e-18
이게 맞지 이게 잘된 국장이지 미주는 두배씩 가는데 혼자 빌빌대는게 맞냐 9만원 뚫자,2024-04-02 02:52:11+00:00,toss,삼성전자,30636840.0,1.0050615320201123e-154
"노키 아
피처폰의 대명사

2010년 이전까지 휴대폰 판매 세계 1위였죠
한 때는 글로벌 시장 점유율 40

우리 삼성이가 월드클래스인데
반도체만 파는거 아닌데 엔비디아 따라서 주가 움직이고 속상하더라고요

우리 삼성이는 모바일폰 가전도 팝니다

비록 한 때의 영광 기업이었지만
핀란드의 자존심 노키아 인수해랏



httpsitchosuncomnewsarticleViewhtmlidxno2023092122453",2024-08-30 07:07:03+00:00,toss,삼성전자,17661548.0,1.6719798474933328e-89
삼전올라가즈아,2024-10-23 04:31:14+00:00,toss,삼성전자,13005297.0,4.247562564902869e-66
"차라리 더 박아라
추매나 하게",2024-09-11 02:23:12+00:00,toss,삼성전자,16641779.0,2.23438258399382e-84
엘지보다 더한놈들,2025-02-03 01:02:21+00:00,toss,삼성전자,4118630.0,1.9836890131479472e-21
"내말이 맞제
2시 넘어가면 삐진디고 했지
치사한 놈들",2024-09-06 05:36:01+00:00,toss,삼성전자,17062210.0,1.72122386993618e-86
어제 물타야햇다,2024-11-15 05:00:30+00:00,toss,삼성전자,11016341.0,4.224151652784384e-56
"자사주 매입 한번만 더 해주십쇼
충성충성",2024-10-17 00:24:28+00:00,toss,삼성전자,13538503.0,8.870532625727948e-69
오늘 거래량이 붙네,2024-10-25 00:07:39+00:00,toss,삼성전자,12848312.0,2.613567718301777e-65
"이재명 주로 갈아탈까 친중관련이나 
친미 반도체 이쪽은 좌파집권이면 좀 어렵지 않을까",2024-12-04 11:04:13+00:00,toss,삼성전자,9352918.0,9.705752228301689e-48
"삼전의 그많은 연구원들은 대체 뭘 연구하고 잇을까

내 사촌형이 삼전 연구원인데 듣기로는 회의도중에 상사분이 빡쳐서 나갓다는데",2024-09-20 06:16:40+00:00,toss,삼성전자,15850171.0,2.129216770638393e-80
가자 가자 화이팅,2024-11-18 01:40:19+00:00,toss,삼성전자,10769152.0,7.38327385260165e-55
21년도 불장하고 정확히 리버스인게 진짜 개웃김,2024-10-10 02:15:48+00:00,toss,삼성전자,14136623.0,8.739080134084012e-72
다들 나가시길래 전 들어와봤습니당,2024-08-16 00:53:20+00:00,toss,삼성전자,18893571.0,1.0725012707379193e-95
또 바느질 하노,2025-01-15 01:56:13+00:00,toss,삼성전자,5756998.0,1.153783336583484e-29
순전히 개인적인 생각입니다만 삼성주가는 오히려 기레기발 호재성 기사들이 판을 치기 시작할 때 끔찍할 정도로 떨어졌던걸 기억하면 본격적인 물량 넘기기로 보입니다 제가 틀리길 바랍니다만 다들 잘 대처하시길 순탄치 않은 한주의 시작이네요,2024-08-05 02:07:51+00:00,toss,삼성전자,19839500.0,1.8863933146310304e-100
"사면 빠지고
사면 빠지네요에효",2025-02-28 05:25:11+00:00,toss,삼성전자,1942860.0,1.7143694997369438e-10
재용이가 해먹고 망함,2025-02-03 00:57:50+00:00,toss,삼성전자,4118901.0,1.977476773286587e-21
"미래도 못보고 투자도 못하는데 멀할까싶다 
삼성 방산기업도 매각할때도 이해안되고 
미래 보고 투자 못하는거 보면 내려와야하는거 아닐까싶다",2024-05-13 12:29:36+00:00,toss,삼성전자,27059795.0,9.603100172000332e-137
호이팅,2024-11-14 01:36:58+00:00,toss,삼성전자,11114953.0,1.3491514723200609e-56
이재용 회장님 화이팅,2023-11-23 02:49:58+00:00,toss,삼성전자,41955373.0,1.2851297863998007e-211
"남의 의견은 참고 참조정도 하는거라 생각해요
그걸로 본의 매수매도를 결정하지 마세요 나중에 매수매도 해놓고 남탓하게 됩니다 본인 돈인데",2024-11-13 00:30:46+00:00,toss,삼성전자,11205325.0,4.7402445470771775e-57
"내일 보궐 이내  서울 교육감 선거 하러 가야겠내 솔직히 윤석열 김건희 보기 싫다  근대 이재명도 보기 싫다

허나 금투세 가 더 짜증난다",2024-10-15 06:42:37+00:00,toss,삼성전자,13688614.0,1.5610193060186108e-69
,2024-09-11 00:16:19+00:00,toss,삼성전자,16649392.0,2.0459280796052944e-84
뭔데 무슨일,2025-02-10 05:21:49+00:00,toss,삼성전자,3498262.0,2.6048840284217163e-18
오르네요,2025-03-12 05:10:59+00:00,toss,삼성전자,906912.0,2.762839066464032e-05
"달달하다
빨리 5만 깨져라 풋옵션 정리하게",2025-02-03 00:29:41+00:00,toss,삼성전자,4120590.0,1.9391952433289944e-21
오랜만에 국내주식 와봅니다  내일 사야지,2024-11-14 08:22:48+00:00,toss,삼성전자,11090603.0,1.7883699446538454e-56
내일삼전 6만깨지는날임 슈마컴 상폐,2024-09-26 15:03:16+00:00,toss,삼성전자,15300175.0,1.2382429070259003e-77
8만원 쌓인거봐,2024-03-26 02:41:29+00:00,toss,삼성전자,31242282.0,9.097126386482835e-158
이제 스르스르 개미들 부르자,2025-02-04 15:07:27+00:00,toss,삼성전자,3981524.0,9.697161842814803e-21
어머니한테 삼전 모아가라했는데 불효자 만드는 삼전의 위엄,2024-11-12 07:04:51+00:00,toss,삼성전자,11268080.0,2.2927631549455641e-57
배당금 생각하면 나쁘지 않은데,2025-02-07 03:29:03+00:00,toss,삼성전자,3764228.0,1.1992100677782538e-19
"뭐냐
다시
6만전자로
내려 가는거니",2023-09-04 04:05:15+00:00,toss,삼성전자,48862856.0,2.443956058279588e-246
"4나노 공정수율이 거진80퍼까지 올라갔고 차세대 공정인 hbm패키징 공정하이브리드공정 을 도입을 처음부터 하고있는중
하이닉스는 시작도안함
Gaa공정을 tsmc보다 더 일찍도입해서 데이터 쌓는중임 길게 보면 또 모른다
그리고 현금이 워낙많아서 장비들 다 사들이고 있는중이고
ddr7만드는 장비들 하이닉스는 없는데 삼성은 이미 다수 보유중 이제 이 장비들로 수율을 높이는데 집중하는중
엑시노스도 좀 해보자",2025-03-22 00:25:04+00:00,toss,삼성전자,60067.0,0.4989647098837292
내가 물린 가격까지 올라왔구나,2024-11-18 00:07:19+00:00,toss,삼성전자,10774732.0,6.921509061845252e-55
줄먹해야한다,2024-11-19 04:34:38+00:00,toss,삼성전자,10672293.0,2.2652503881193942e-54
78층 언제올까,2023-05-25 04:31:54+00:00,toss,삼성전자,57674057.0,1.2534115803345306e-290
실화냐,2024-11-11 05:43:34+00:00,toss,삼성전자,11359357.0,7.971686223888644e-58
