content,timestamp,platform,stock_name,delta_seconds,weight,label
요즘주식시장보면장난하는것같다,2025-01-14 01:00:42+00:00,toss,삼성전자,5846729.0,4.084005523539871e-30,
"자 드가자

누가 죽나 보자 드가자",2024-11-14 08:00:27+00:00,toss,삼성전자,11091944.0,1.7608272485115432e-56,
82층 30주샀다가 85층에서 하하호호하다가 지반침하당했누,2024-04-19 02:51:08+00:00,toss,삼성전자,29168103.0,2.4259518137640035e-147,
"와 이제 진짜 사고 싶따 
3일연속 상승하면 사본당",2024-09-30 12:07:44+00:00,toss,삼성전자,14965107.0,5.984723404188715e-76,
낼,2025-03-18 06:26:13+00:00,toss,삼성전자,383998.0,0.011743900303419,
길게 보면 무조건 오르는데 조만간 다시 좀 떨어질듯 기사나 행보 보니까,2024-11-18 00:13:20+00:00,toss,삼성전자,10774371.0,6.950489294027601e-55,
너 또 기영이 머리 만드니,2025-02-19 01:17:04+00:00,toss,삼성전자,2735347.0,1.7808352674570165e-14,
"삼성전자 사야되나
55600원 10주 사는데
10주를 더사야되나 고민스럽네",2024-11-13 05:32:18+00:00,toss,삼성전자,11187233.0,5.84441716455396e-57,
하루에 5퍼센트 상승이라,2025-03-17 04:35:55+00:00,toss,삼성전자,477016.0,0.004001769988867,
응 이제 팔꺼야,2023-05-29 03:57:36+00:00,toss,삼성전자,57330515.0,6.682315508300896e-289,
모두가 경영권 프리미엄의 부당함을 깨닫는 순간 3만전자,2024-10-07 01:58:26+00:00,toss,삼성전자,14396865.0,4.298773906947924e-73,
오늘 장 열렸을때 팔아야할까요,2024-12-03 16:25:05+00:00,toss,삼성전자,9420066.0,4.4617577246056204e-48,
하간보고있네8자 8자,2024-03-26 07:03:30+00:00,toss,삼성전자,31226561.0,1.0912561975546829e-157,
곡소리 나오면 슬슬 준비 운동 하면 되나요,2024-10-24 06:48:32+00:00,toss,삼성전자,12910659.0,1.2701149821545814e-65,
하닉보다 못하진않음 하닉 떨군만큼 똑같거나 더 떨굴듯 7만가면 풀매수닷,2024-07-19 03:11:47+00:00,toss,삼성전자,21304464.0,8.164092694295564e-108,
"2024년이 벌써 한 달이 훌쩍 지나갔고 설 연휴가 지나가면 벌써 2월 중순입니다

오늘은 2월 9일 금요일 설 연휴 첫 날로 12일 설날 대체휴일까지 나흘간의 휴일과 증시 휴장이 이어집니다

2024년 증시 휴장일은 어떤 날이 있는지 알아보도록 하겠습니다

1월

1월 1일 월요일신정
휴장일 1일 22거래일

2월

2월 9일 금요일설날 연휴
2월 12일 월요일설날 대체휴일
휴장일 2일 19거래일

3월

3월 1일 금요일31절
휴장일 1일 20거래일

4월

4월 10일 수요일총선
휴장일 1일 21거래일

5월

5월 6일 월요일어린이날 대체휴일
5월 15일 수요일석가탄신일
휴장일 2일 21거래일

6월

6월 6일 목요일현충일
휴장일 1일 19거래일

7월

없음
휴장일 0일 23거래일

8월

8월 15일 목요일광복절
휴장일 1일 21거래일

9월

9월 16일 월요일추석 연휴
9월 17일 화요일추석 당일
9월 18일 수요일추석 연휴
휴장일 3일 18거래일

10월

10월 3일 목요일개천절
10월 9일 수요일한글날
휴장일 2일 21거래일

11월

없음
휴장일 0일 21거래일

12월

12월 25일 수요일성탄절
12월 31일 화요일증시 폐장일
휴장일 2일 20거래일

참고로 공휴일이 토일요일이나 다른 공휴일과 겹치는 경우 대체공휴일을 지정하는데 2021년 8월 15일부터 신정1월 1일 부처님오신날석가탄신일 현충일 성탄절을 제외한 모든 공휴일로 확대 적용되었습니다

더욱 자세한 내용은 아래 사진을 참고하시길 바라고 증시 휴장일 jpg 다운로드는 아래 글에서 가능합니다

새해 복 많이 받으시고 즐거운 설 연휴 보내세요

httpskakao77tistorycom711",2024-02-09 03:09:07+00:00,toss,삼성전자,35215024.0,9.765446195651867e-178,
목디스크 심해지는거 같아요,2024-05-03 00:17:52+00:00,toss,삼성전자,27967699.0,2.622893780797271e-141,
,2025-03-20 02:04:14+00:00,toss,삼성전자,226917.0,0.0723417279187947,
고생하셨습니다 월요일 돈 긁을 준비하세요,2024-12-14 08:09:59+00:00,toss,삼성전자,8499372.0,1.894202465914725e-43,
삼전은  구매하면 않될듯,2024-02-23 03:23:27+00:00,toss,삼성전자,34004564.0,1.1861447112808685e-171,
일단 익절,2024-04-09 03:53:20+00:00,toss,삼성전자,30028371.0,1.1499963452459864e-151,
이딴걸 왜사는거임,2024-11-11 00:05:01+00:00,toss,삼성전자,11379670.0,6.301526307813738e-58,
이제 시작입니다,2025-03-20 03:56:02+00:00,toss,삼성전자,220209.0,0.0781820437175482,
음 지금 들어갈 타이밍인가,2025-01-20 00:32:33+00:00,toss,삼성전자,5330018.0,1.6157097966496276e-27,
못해도 5500가진 떨어질것같은데,2024-10-23 14:48:12+00:00,toss,삼성전자,12968279.0,6.519478436570184e-66,
아진짜윤탄핵,2024-12-10 01:18:56+00:00,toss,삼성전자,8869635.0,2.6078253759076362e-45,
신기허다 신기해,2024-11-19 03:32:10+00:00,toss,삼성전자,10676041.0,2.1690855426695105e-54,
애플vs삼성전자,2024-12-11 04:52:26+00:00,toss,삼성전자,8770425.0,8.221729378518043e-45,
국장 재미없네요 너무 레버리지에서 놀았,2024-08-14 06:17:35+00:00,toss,삼성전자,19046916.0,1.8180277519935313e-96,
12주만 일단 보내고 떨어지면 더 사야징,2024-09-24 07:30:35+00:00,toss,삼성전자,15500136.0,1.2237440237712237e-78,
"역사가 증명을 해준다니까 
나스닥에 눌러 앉으세여",2025-01-17 04:31:09+00:00,toss,삼성전자,5574902.0,9.493800371708547e-29,
육만이 저가라고 생각날 때까지,2025-03-20 03:33:07+00:00,toss,삼성전자,221584.0,0.076947675303869,
대 삼 성,2024-06-27 03:44:05+00:00,toss,삼성전자,23203326.0,2.329006988203519e-117,
"이거 나한테 넘긴 넘
죽이러 가끄얌",2024-12-16 06:09:13+00:00,toss,삼성전자,8333818.0,1.2870426329467173e-42,
"개인하고 기관만 팔았네요
하락안하고 그대로 인거에 감사",2025-03-18 06:46:34+00:00,toss,삼성전자,382777.0,0.0119110426918581,
"삼성전자A005930 들어가고싶은데 아직이겠죠
완전 주린이라가볍게 몆주만 하고싶은데",2023-06-20 02:53:10+00:00,toss,삼성전자,55433581.0,2.290724768192893e-279,
"삼전아님 금액도 메리트있고

개잡주살빠에 삼전사라",2024-12-13 04:27:26+00:00,toss,삼성전자,8599125.0,5.970522052228629e-44,
영 차 영 차,2024-03-26 06:32:26+00:00,toss,삼성전자,31228425.0,1.0679654965323536e-157,
"올리는속도 7년 
내리는 속도 3개월",2024-11-13 00:11:13+00:00,toss,삼성전자,11206498.0,4.6763240303812445e-57,
쳐다만봐도 속터진다,2024-05-22 04:25:15+00:00,toss,삼성전자,26311256.0,5.558851055877124e-133,
"삼성전자를 머라하려면 최소한 폰을 갤럭시로 바꾸고 해라
그렇지않겠는가",2024-09-25 07:17:30+00:00,toss,삼성전자,15414521.0,3.296394789246535e-78,
오 급등한다,2024-12-20 05:36:07+00:00,toss,삼성전자,7990204.0,6.86733319598337e-41,
"삼성이 우량주고 대장주이자 최고의 국민주입니다
하지만 우량주라고 무턱대고 사면 안됩니다
아직까지 상승여력은 충분하지만
지지부진한 흐름은 어쩔수 없습니다
 지금은 보유자의 영역이지 신규진입은 비추합니다
공부를 위해 한주정도 담아 보시는건
추천드립니다",2023-07-13 07:03:24+00:00,toss,삼성전자,53431367.0,2.6559183206161572e-269,
어휴 지금 물린지 몇 달째,2024-11-07 00:10:20+00:00,toss,삼성전자,11724951.0,1.158434005459108e-59,
지금의 저점 입니다,2025-02-28 03:16:23+00:00,toss,삼성전자,1950588.0,1.5676864439185878e-10,
대 일 류,2024-10-11 04:01:37+00:00,toss,삼성전자,14043874.0,2.556664909989861e-71,
4만,2024-11-14 07:52:10+00:00,toss,삼성전자,11092441.0,1.7507274921818854e-56,
아왜이러나요,2024-10-22 05:54:15+00:00,toss,삼성전자,13086716.0,1.6553223565544006e-66,
진입,2024-09-13 00:52:29+00:00,toss,삼성전자,16474422.0,1.5501972221757889e-83,
자사주 산다고 뻥카 날린거 아녀,2024-11-19 04:50:04+00:00,toss,삼성전자,10671367.0,2.2896589859588234e-54,
배당은 오늘 3시30까지 들고 있어야 주나요,2024-08-20 01:49:40+00:00,toss,삼성전자,18544591.0,6.089273824872642e-94,
이놈은 시작부터 초치네  진짜 개잡주,2024-05-22 00:01:12+00:00,toss,삼성전자,26327099.0,4.627530639987033e-133,
후후 55층내려올때재진입,2024-11-25 00:34:37+00:00,toss,삼성전자,10168294.0,7.735629567232363e-52,
가자 그래야 죽는다,2025-02-03 01:35:02+00:00,toss,삼성전자,4116669.0,2.0292271543681488e-21,
삼성,2024-09-13 00:50:42+00:00,toss,삼성전자,16474529.0,1.548278606022766e-83,
금을  샀더라면,2024-04-29 02:00:41+00:00,toss,삼성전자,28307130.0,5.159547354781397e-143,
더 떨어져 다 받아줄게,2024-11-12 05:28:04+00:00,toss,삼성전자,11273887.0,2.1437294800969373e-57,
8층에들어갔는데 던져야하나,2024-10-02 02:01:47+00:00,toss,삼성전자,14828664.0,2.9032372833693653e-75,
어머나 무슨일이야,2024-10-31 04:50:52+00:00,toss,삼성전자,12312919.0,1.2835622130449685e-62,
"180 도 하락빔 인데 몬  분할 물타기냐
정신 좀 차려라",2024-08-05 07:01:11+00:00,toss,삼성전자,19821900.0,2.31259532347185e-100,
8만까지 가보자,2023-07-14 02:52:24+00:00,toss,삼성전자,53360027.0,6.064699064651134e-269,
,2024-08-19 02:01:50+00:00,toss,삼성전자,18630261.0,2.259125763433707e-94,
