content,timestamp,platform,stock_name,delta_seconds,weight
"20프로 수익낫고 51층에 있습니다
지금 더 들어가야하나고민되네요
8만까지는 갈것같은데 말이죠",2025-03-22 07:32:49+00:00,toss,삼성전자,0.0,1.0
"국내주식 제일 중요한건 한발 빠른정보 입니다
월요일 아침 급등정보 받아가세요

httpsjtbc0016tistorycom1",2025-03-22 06:35:02+00:00,toss,삼성전자,3467.0,0.9606671242092188
4월4일 배당기준일 배당률 11퍼 주당 2865원 달달하네,2025-03-22 06:30:17+00:00,toss,삼성전자,3752.0,0.9575034776476655
"17일 이후 외국인이 5거래일 동안 1조9791억원을 담음
외국인 보유율 다시 5059로 증가",2025-03-22 06:05:25+00:00,toss,삼성전자,5244.0,0.9411107574677962
월요일 조금 주출 할거같은 느낌이지,2025-03-22 06:01:18+00:00,toss,삼성전자,5491.0,0.9384241555734512
토스 투표 주식은 앞으로 오를까요 내릴까요 이제 없어졌나요,2025-03-22 05:45:51+00:00,toss,삼성전자,6418.0,0.928409467105026
"안녕하세요
미국 중국 인도 유럽 주식만 하다가 올해 한국에 투자하러 왔습니다

한국 주식시장이 2023년 공매도를 금지하면서 시세 안정화 메커니즘이 붕괴됐고
그로인해 시장에는 이상 현상이 일어났습니다

외인들 중에 진득하게 장기 투자를 하는 건전한 장투 외인들 시선에는 한국시장은 공매도 금지로 투자 매력이 없어졌고
한국 시장이 단기 트레이닝 도박을 즐기는 단타 유저들만 가끔 들르는 테마 시장으로 전락했습니다

결국 한국 주식시장의 시세 조정 기능 붕괴로인해 시장 자체가 밈화 테마화가 되면서 변동성이 심해졌고 
주식시장 불확실성 불안정성으로인해 삼성같은 대형주가 단기간에 폭락하는 사태도 일어났습니다

결국 종합하자면 공매도 금지로 한국 시장이 난장판이 되면서 투자 매력을 잃어서 주가는 1년 넘게 역성장했고 삼성같은 대형 우량주가 테마주마냥 폭락하는 사태가 일어났습니다

부디 울나라 정치인들 우물안에서 이런 이상한 짓 좀 그만했으면 좋겠고요

4월에 공매도가 다시 들어오는데  공매도가 들어오면 그동안 기업 가치에 비해 많이 오른 주식은 크게 조정받을 수 있으니 매출이 없는 로봇 양자같은 테마주는 정리하는게 좋을 수 있고
4월에 단기적으로는 시장 변동성이 심해질 수 있지만 어느정도 시세가 조정되면 다시 시장이 안정화 되면서 건전한 장투 외인들이 쇼핑하러 들어올 수 있습니다

특히 저평가된 삼성전자같은 대형주들이 앞으로 몇 달 간 상승랠리가 지속 될 수 있고 주식시장을 이끌어갈거로 보이고

앞으로 투자자분들도 이제는 폭등하는 주식에 올라타기보다는 어느정도 검증된 기업인데 저평가돼있고 재무상태가 좋고 비전있는 주식에 투자하는게 수익이 좋을 수 있습니다

결론은 올해 공매도를 재개하고 상법 개정도 하면 그동안 테마도박판이 돼었있던 주식시장이 어느정도 신뢰도를 회복하면서 외인 장기투자자들이 몰려올거도 보는데
저같은 경우 코스피가 내후년까지 500600까지도 보는데 
다들  올해 저점에 잘 담아서 내년에 수확 잘 하시길바랍니다",2025-03-22 05:39:15+00:00,toss,삼성전자,6814.0,0.9241639936894048
"여름 전 까지 최소 8만 원은 갑니다
부화뇌동 하지 마시고 물량 붙들고 계세요",2025-03-22 05:23:04+00:00,toss,삼성전자,7785.0,0.9138359890643176
아놔,2025-03-22 05:08:08+00:00,toss,삼성전자,8681.0,0.9044081410305792
단타 치는분들이랑 수익 노리는 분들 같은데요,2025-03-22 04:36:02+00:00,toss,삼성전자,10607.0,0.8844704242991995
